,location,mintemp,maxtemp,rainfall,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
163,Wollongong,17.6,25.6,8.4,NW,48.0,WNW,ENE,20.0,11.0,74,82,1006.4,1004.8,22.5,20.1,Yes,11.4,Yes,2015.0,11.0,310.0
164,Wollongong,11.9,20.6,0.0,W,100.0,N,WSW,33.0,39.0,58,51,1003.3,1002.8,14.6,12.4,No,0.0,No,2011.0,6.0,172.0
165,Wollongong,21.8,26.5,0.0,S,48.0,ENE,S,9.0,37.0,74,81,1021.9,1022.2,24.7,24.1,No,30.6,Yes,2015.0,2.0,43.0
166,Wollongong,12.7,17.5,0.0,S,35.0,SW,SSE,22.0,28.0,65,74,1030.7,1028.6,15.5,17.0,No,0.0,No,2017.0,6.0,170.0
167,Wollongong,16.6,20.9,0.0,SSE,24.0,SW,SSE,15.0,17.0,80,82,1024.1,1021.9,18.4,19.5,No,1.0,No,2018.0,4.0,111.0
168,Wollongong,21.6,42.4,0.0,S,98.0,E,NE,9.0,24.0,68,68,1001.2,996.9,26.8,27.0,No,0.0,No,2013.0,1.0,18.0
169,Wollongong,17.5,22.2,1.2,WNW,65.0,WNW,NE,39.0,19.0,61,56,1008.2,1008.2,17.8,21.4,Yes,0.0,No,2014.0,10.0,280.0
170,Wollongong,7.7,15.7,0.0,S,33.0,WSW,S,9.0,26.0,46,53,1019.4,1016.9,11.5,14.7,No,0.4,No,2018.0,7.0,195.0
171,Wollongong,7.2,14.5,0.2,WSW,33.0,WSW,SW,6.0,11.0,71,57,1020.0,1017.8,11.6,13.0,No,0.0,No,2011.0,7.0,205.0
172,Wollongong,11.7,17.4,0.0,S,43.0,SW,SSE,20.0,22.0,53,52,1025.8,1022.7,14.6,16.7,No,0.0,No,2013.0,5.0,125.0
173,Wollongong,13.4,23.8,0.0,NW,50.0,N,NNE,9.0,20.0,49,58,1014.4,1009.2,18.1,20.3,No,0.6,No,2012.0,8.0,235.0
174,Wollongong,16.9,23.0,0.0,SSE,54.0,S,ESE,24.0,15.0,79,67,1011.6,1011.1,17.7,21.5,No,0.0,No,2009.0,12.0,343.0
175,Wollongong,11.2,17.1,0.0,SSE,46.0,WSW,SSE,20.0,22.0,50,63,1016.0,1016.8,15.1,13.5,No,0.0,No,2011.0,6.0,157.0
176,Wollongong,13.7,19.5,0.0,S,67.0,NE,N,6.0,11.0,69,72,1019.5,1017.9,16.9,17.7,No,20.2,Yes,2013.0,7.0,211.0
177,Wollongong,13.0,16.9,1.8,S,59.0,WSW,SSW,13.0,33.0,58,58,1018.2,1019.1,14.6,14.6,Yes,0.0,No,2018.0,5.0,150.0
178,Wollongong,14.4,22.4,0.0,SW,57.0,SW,SW,19.0,26.0,39,29,1011.6,1010.5,18.2,20.9,No,0.0,No,2009.0,9.0,267.0
179,Wollongong,22.0,26.0,0.0,NNE,43.0,NE,NNE,20.0,15.0,87,77,1014.2,1011.5,23.7,25.5,No,0.0,No,2019.0,1.0,29.0
180,Wollongong,20.3,25.8,0.0,NE,44.0,NE,NNE,7.0,17.0,66,66,1014.5,1011.3,23.9,24.8,No,0.0,No,2019.0,2.0,48.0
181,Wollongong,11.3,20.1,0.0,NE,46.0,NE,NE,17.0,37.0,57,80,1022.5,1015.1,17.6,18.1,No,0.0,No,2012.0,9.0,256.0
182,Wollongong,16.9,25.1,0.0,SW,43.0,WSW,NW,9.0,26.0,63,59,1003.4,1001.2,19.4,20.9,No,0.4,No,2017.0,12.0,340.0
183,Wollongong,11.7,19.1,0.2,WNW,37.0,NW,NW,19.0,13.0,61,42,1013.5,1011.5,15.1,16.8,No,0.0,No,2012.0,6.0,182.0
184,Wollongong,20.7,27.7,0.0,WNW,59.0,ESE,N,9.0,22.0,66,66,1011.3,1007.8,24.2,25.4,No,5.2,Yes,2009.0,1.0,21.0
185,Wollongong,14.2,16.7,0.2,ESE,54.0,SE,SE,22.0,22.0,60,64,1036.3,1035.8,16.1,15.5,No,2.0,Yes,2011.0,8.0,233.0
186,Wollongong,17.7,24.8,0.0,NE,43.0,NNW,NNE,15.0,22.0,75,75,1020.1,1016.9,22.8,24.2,No,0.0,No,2016.0,1.0,10.0
187,Wollongong,11.7,18.0,0.0,SSE,63.0,SSW,SSE,22.0,48.0,74,76,1028.5,1028.4,13.5,15.4,No,23.0,Yes,2009.0,5.0,150.0
188,Wollongong,11.6,20.6,0.0,NNE,31.0,SE,NE,9.0,17.0,65,66,1027.8,1025.0,18.6,19.9,No,0.0,No,2010.0,11.0,324.0
189,Wollongong,18.0,27.7,0.0,ENE,41.0,NNE,NNE,22.0,19.0,79,75,1014.3,1009.2,20.1,23.4,No,0.2,No,2008.0,12.0,340.0
190,Wollongong,19.9,24.6,0.0,SE,48.0,ENE,SE,11.0,35.0,81,80,1010.9,1011.0,22.6,22.8,No,0.0,No,2009.0,2.0,34.0
191,Wollongong,10.1,17.9,0.0,WNW,74.0,W,WNW,28.0,13.0,43,26,1014.2,1014.5,12.1,17.7,No,0.0,No,2018.0,7.0,211.0
192,Wollongong,9.5,14.3,0.0,SW,52.0,SW,SSW,20.0,31.0,68,57,1026.3,1023.6,10.7,13.2,No,0.0,No,2012.0,7.0,213.0
193,Wollongong,9.0,15.1,0.2,SSW,35.0,SW,S,15.0,20.0,66,62,1021.6,1019.4,13.1,14.8,No,0.0,No,2013.0,6.0,172.0
194,Wollongong,20.1,24.2,0.0,SSE,59.0,SE,SSE,2.0,48.0,81,91,1010.0,1012.1,21.8,19.0,No,12.4,Yes,2009.0,12.0,359.0
195,Wollongong,18.7,21.5,6.2,S,48.0,S,S,33.0,20.0,91,86,1017.2,1016.0,20.2,20.2,Yes,6.0,Yes,2015.0,2.0,56.0
196,Wollongong,10.4,14.8,0.0,NNW,33.0,W,NNW,11.0,13.0,62,69,1018.4,1013.3,12.2,13.6,No,3.6,Yes,2009.0,7.0,207.0
197,Wollongong,11.1,16.8,0.0,SSW,50.0,SW,SSW,26.0,35.0,54,56,1027.3,1026.4,14.0,15.9,No,0.0,No,2014.0,6.0,159.0
198,Wollongong,19.9,26.7,0.0,NE,41.0,ENE,NNE,6.0,24.0,78,70,1012.7,1009.4,23.0,26.2,No,0.0,No,2011.0,2.0,57.0
199,Wollongong,13.9,20.9,0.0,SW,33.0,SSW,SE,7.0,13.0,51,52,1023.0,1022.9,18.4,19.3,No,0.0,No,2019.0,6.0,162.0
